,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_347,0.394,0.243,0.157,0.138,0.327,0.291,0.098
t_348,0.416,0.331,0.369,0.392,0.475,0.462,0.196
t_349,0.369,0.272,0.222,0.341,0.332,0.462,0.16
t_350,0.323,0.289,0.241,0.232,0.265,0.311,0.142
t_351,0.18,0.18,0.141,0.18,0.205,0.159,0.096
t_352,0.099,0.113,0.177,0.098,0.132,0.144,0.061
t_353,0.046,0.046,0.025,0.035,0.027,0.037,0.014
t_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_369,0.023,0.033,0.044,0.04,0.047,0.043,0.028
t_370,0.099,0.127,0.157,0.122,0.116,0.105,0.184
t_371,0.201,0.153,0.077,0.025,0.153,0.034,0.06
t_372,0.126,0.112,0.058,0.044,0.108,0.068,0.158
t_373,0.103,0.091,0.126,0.022,0.073,0.089,0.276
t_374,0.135,0.181,0.257,0.09,0.109,0.199,0.429
t_375,0.114,0.147,0.081,0.071,0.129,0.235,0.461
t_376,0.077,0.067,0.052,0.027,0.055,0.04,0.32
t_377,0.025,0.03,0.021,0.011,0.023,0.017,0.07
t_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_393,0.016,0.014,0.011,0.015,0.012,0.011,0.044
t_394,0.051,0.053,0.049,0.045,0.055,0.062,0.127
t_395,0.095,0.054,0.075,0.035,0.1,0.042,0.058
t_396,0.105,0.038,0.049,0.057,0.165,0.03,0.068
t_397,0.121,0.12,0.189,0.076,0.091,0.079,0.151
t_398,0.221,0.165,0.28,0.282,0.247,0.207,0.061
t_399,0.213,0.11,0.17,0.234,0.213,0.155,0.217
t_400,0.131,0.11,0.135,0.045,0.103,0.082,0.214
t_401,0.043,0.039,0.038,0.021,0.026,0.019,0.048
t_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_417,0.017,0.012,0.01,0.013,0.013,0.011,0.073
t_418,0.062,0.041,0.021,0.008,0.039,0.029,0.263
t_419,0.061,0.024,0.028,0.015,0.084,0.022,0.46
t_420,0.041,0.03,0.051,0.039,0.107,0.028,0.668
t_421,0.043,0.074,0.118,0.06,0.172,0.061,0.635
t_422,0.056,0.136,0.245,0.18,0.246,0.198,0.625
t_423,0.053,0.119,0.1,0.068,0.175,0.099,0.582
t_424,0.055,0.079,0.09,0.089,0.209,0.068,0.335
t_425,0.028,0.024,0.03,0.019,0.03,0.022,0.086
t_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
