,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_347,0.286,0.188,0.131,0.117,0.233,0.22,0.082
t_348,0.282,0.241,0.261,0.278,0.297,0.31,0.14
t_349,0.257,0.212,0.182,0.232,0.206,0.284,0.102
t_350,0.211,0.198,0.181,0.173,0.166,0.2,0.093
t_351,0.129,0.127,0.113,0.122,0.118,0.123,0.068
t_352,0.062,0.062,0.06,0.062,0.064,0.071,0.052
t_353,0.022,0.019,0.012,0.013,0.014,0.017,0.014
t_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_369,0.023,0.032,0.044,0.039,0.046,0.043,0.027
t_370,0.09,0.108,0.134,0.103,0.098,0.094,0.152
t_371,0.169,0.124,0.069,0.024,0.121,0.033,0.056
t_372,0.105,0.092,0.057,0.04,0.09,0.062,0.117
t_373,0.088,0.081,0.105,0.022,0.061,0.076,0.182
t_374,0.101,0.122,0.166,0.079,0.088,0.13,0.226
t_375,0.083,0.091,0.065,0.055,0.085,0.102,0.15
t_376,0.055,0.039,0.038,0.02,0.037,0.033,0.056
t_377,0.019,0.017,0.014,0.008,0.014,0.015,0.021
t_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_393,0.017,0.014,0.011,0.016,0.012,0.011,0.042
t_394,0.05,0.052,0.048,0.045,0.054,0.059,0.11
t_395,0.093,0.053,0.067,0.031,0.086,0.042,0.052
t_396,0.094,0.038,0.05,0.052,0.132,0.031,0.064
t_397,0.096,0.096,0.141,0.06,0.076,0.071,0.126
t_398,0.15,0.124,0.175,0.17,0.155,0.139,0.061
t_399,0.124,0.077,0.109,0.121,0.114,0.095,0.121
t_400,0.067,0.057,0.063,0.035,0.059,0.052,0.082
t_401,0.027,0.022,0.02,0.014,0.017,0.016,0.026
t_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_417,0.017,0.012,0.01,0.013,0.013,0.012,0.066
t_418,0.061,0.041,0.022,0.008,0.035,0.029,0.209
t_419,0.06,0.024,0.029,0.016,0.075,0.023,0.322
t_420,0.041,0.031,0.052,0.04,0.092,0.029,0.395
t_421,0.043,0.072,0.106,0.06,0.131,0.061,0.339
t_422,0.055,0.116,0.153,0.116,0.155,0.149,0.266
t_423,0.05,0.091,0.081,0.053,0.103,0.08,0.154
t_424,0.051,0.049,0.049,0.048,0.063,0.039,0.05
t_425,0.022,0.015,0.015,0.011,0.016,0.014,0.021
t_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
