,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_347,0.335,0.215,0.147,0.129,0.278,0.257,0.09
t_348,0.368,0.302,0.34,0.361,0.411,0.415,0.177
t_349,0.343,0.261,0.216,0.319,0.3,0.424,0.147
t_350,0.307,0.277,0.234,0.225,0.247,0.296,0.134
t_351,0.177,0.176,0.139,0.175,0.194,0.158,0.094
t_352,0.097,0.109,0.163,0.095,0.125,0.138,0.061
t_353,0.045,0.044,0.023,0.033,0.026,0.035,0.014
t_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_369,0.02,0.027,0.037,0.033,0.039,0.036,0.024
t_370,0.09,0.109,0.137,0.106,0.101,0.095,0.155
t_371,0.186,0.139,0.074,0.024,0.138,0.034,0.059
t_372,0.12,0.106,0.058,0.043,0.102,0.067,0.144
t_373,0.101,0.09,0.122,0.022,0.07,0.087,0.253
t_374,0.131,0.173,0.243,0.09,0.106,0.19,0.391
t_375,0.112,0.142,0.08,0.07,0.124,0.221,0.416
t_376,0.076,0.066,0.052,0.026,0.054,0.04,0.288
t_377,0.026,0.03,0.02,0.011,0.022,0.017,0.065
t_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_393,0.016,0.013,0.011,0.015,0.012,0.011,0.037
t_394,0.05,0.052,0.048,0.045,0.054,0.06,0.112
t_395,0.095,0.054,0.072,0.034,0.095,0.043,0.056
t_396,0.103,0.039,0.05,0.057,0.156,0.031,0.068
t_397,0.117,0.116,0.18,0.073,0.088,0.078,0.147
t_398,0.212,0.16,0.264,0.265,0.233,0.198,0.063
t_399,0.205,0.108,0.163,0.221,0.201,0.149,0.206
t_400,0.128,0.106,0.127,0.045,0.098,0.08,0.201
t_401,0.042,0.037,0.036,0.02,0.025,0.019,0.046
t_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_417,0.016,0.012,0.01,0.013,0.013,0.012,0.056
t_418,0.061,0.041,0.022,0.008,0.036,0.029,0.214
t_419,0.061,0.024,0.029,0.016,0.08,0.023,0.387
t_420,0.042,0.031,0.052,0.04,0.102,0.029,0.568
t_421,0.044,0.075,0.117,0.061,0.163,0.062,0.557
t_422,0.057,0.135,0.231,0.171,0.232,0.192,0.556
t_423,0.054,0.118,0.098,0.067,0.168,0.098,0.521
t_424,0.056,0.077,0.086,0.085,0.192,0.066,0.302
t_425,0.028,0.024,0.029,0.019,0.029,0.022,0.079
t_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
