,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_177,0.019,0.012,0.004,0.004,0.0095,0.006500000000000001,0.013999999999999999
t_178,0.119,0.081,0.049,0.0285,0.054000000000000006,0.07,0.07
t_179,0.18,0.1505,0.08299999999999999,0.0345,0.089,0.128,0.042499999999999996
t_180,0.2215,0.191,0.212,0.1345,0.1375,0.183,0.0555
t_181,0.222,0.20550000000000002,0.2165,0.2535,0.172,0.2395,0.074
t_182,0.179,0.2345,0.239,0.2665,0.191,0.28,0.088
t_183,0.0865,0.133,0.1355,0.236,0.17300000000000001,0.16949999999999998,0.0365
t_184,0.0295,0.054,0.0585,0.106,0.121,0.065,0.022
t_185,0.0095,0.011,0.02,0.0115,0.0165,0.015,0.007
t_186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_201,0.009000000000000001,0.0095,0.02,0.0225,0.033,0.029,0.016
t_202,0.0685,0.036500000000000005,0.1105,0.11699999999999999,0.1065,0.07250000000000001,0.062
t_203,0.112,0.07200000000000001,0.0445,0.136,0.1955,0.065,0.075
t_204,0.1485,0.11,0.054,0.0905,0.15999999999999998,0.0955,0.1055
t_205,0.20550000000000002,0.136,0.14,0.153,0.17,0.161,0.048
t_206,0.1765,0.1295,0.113,0.128,0.126,0.123,0.06
t_207,0.14450000000000002,0.1555,0.128,0.051000000000000004,0.07250000000000001,0.0985,0.06
t_208,0.098,0.1145,0.119,0.027,0.037,0.0795,0.057
t_209,0.0345,0.033,0.0205,0.005,0.006500000000000001,0.0185,0.018000000000000002
t_210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_225,0.0185,0.0235,0.0235,0.03,0.0275,0.026,0.0245
t_226,0.089,0.111,0.109,0.111,0.129,0.1495,0.0815
t_227,0.11499999999999999,0.17300000000000001,0.151,0.2095,0.2285,0.2345,0.15000000000000002
t_228,0.1545,0.16149999999999998,0.14300000000000002,0.2175,0.2525,0.2515,0.1725
t_229,0.1045,0.1235,0.1165,0.195,0.2525,0.2395,0.1835
