zone,week,level
SE02,w14,0.23397970763928777
SE02,w15,0.21034371751866743
SE02,w16,0.20392598437679493
SE02,w17,0.2325920231476163
SE02,w18,0.3366107009764503
SE02,w19,0.4080175627225732
SE02,w20,0.4511714916714532
SE02,w21,0.5027165697874785
SE02,w22,0.5759611378518094
SE02,w23,0.6582729425617462
SE02,w24,0.7276817777139575
SE02,w25,0.7888495881677198
SE02,w26,0.8140930000000001
SE02,w27,0.8445503365881677
SE02,w28,0.8624597989661115
SE02,w29,0.8731665364732912
SE02,w30,0.8760143308443423
SE02,w31,0.8755572774267663
SE02,w32,0.8711976909821941
SE02,w33,0.8695804250430788
SE02,w34,0.8657482079264791
SE02,w35,0.8678576852383688
SE02,w36,0.8632871510626077
SE02,w37,0.8533726076967261
SE02,w38,0.8377132544514647
SE02,w39,0.8334907840321655
SE02,w40,0.8514213411832281
SE02,w41,0.8626191499138427
SE02,w42,0.8653966283744974
SE02,w43,0.8657833658816771
SE02,w44,0.8736235898908673
SE02,w45,0.8708461114302125
SE02,w46,0.8555688397472717
SE02,w47,0.8415478472142448
SE02,w48,0.8248759448592762
SE02,w49,0.8022271901206203
SE02,w50,0.7799932992533027
SE02,w51,0.7435696576680069
SE02,w52,0.7060666668581275
SE02,w53,0.6527250172314761
SE03,w1,0.5515151802656546
SE03,w2,0.5135749525616699
SE03,w3,0.4783719165085389
SE03,w4,0.4522637571157495
SE03,w5,0.41205882352941176
SE03,w6,0.3676053130929791
SE03,w7,0.32903605313092976
SE03,w8,0.2831840607210626
SE03,w9,0.24578747628083486
SE03,w10,0.22848007590132824
SE03,w11,0.22806413662239086
SE03,w12,0.25706242884250474
SE03,w13,0.25547457305502846
SE03,w14,0.2505821631878558
SE03,w15,0.25608757115749525
SE03,w16,0.28492396584440227
SE03,w17,0.31956969639468685
SE03,w18,0.36619468690702084
SE03,w19,0.41186527514231497
SE03,w20,0.4400417457305502
SE03,w21,0.45825996204933583
SE03,w22,0.4615256166982923
SE03,w23,0.4591859582542695
SE03,w24,0.4636831119544592
SE03,w25,0.4930151802656546
SE03,w26,0.516943074003795
SE03,w27,0.5458159392789373
SE03,w28,0.5796982922201138
SE03,w29,0.5891157495256167
SE03,w30,0.5986679316888045
SE03,w31,0.6049715370018975
SE03,w32,0.601294117647059
SE03,w33,0.5814288425047438
SE03,w34,0.5660303605313093
SE03,w35,0.5748690702087287
SE03,w36,0.5547514231499051
SE03,w37,0.5428709677419354
SE03,w38,0.516066413662239
SE03,w39,0.5143055028462998
SE03,w40,0.5343757115749526
SE03,w41,0.5419468690702087
SE03,w42,0.5504914611005692
SE03,w43,0.5586148007590133
SE03,w44,0.580516129032258
SE03,w45,0.607741935483871
SE03,w46,0.6203092979127135
SE03,w47,0.6336793168880455
SE03,w48,0.6380929791271347
SE03,w49,0.6320512333965844
SE03,w50,0.6213889943074005
SE03,w51,0.6048292220113851
SE03,w52,0.5886907020872865
SE03,w53,0.54019165085389
SE04,w1,0.497956976744186
