zone,week,Minimum Reservoir levels at beginning of each week,Maximum Reservoir level at beginning of each week
FI00,48,0.4059674502712478,0.8289330922242315
FI00,49,0.4,0.8240506329113924
FI00,50,0.3889692585895118,0.8159132007233273
FI00,51,0.3719710669077758,0.8099457504520796
FI00,52,0.3549728752260398,0.798010849909584
FI00,53,0.349005424954792,0.7949367088607595
FR00,1,0.32,0.79
FR00,2,0.306,0.772
FR00,3,0.292,0.754
FR00,4,0.278,0.736
FR00,5,0.264,0.718
FR00,6,0.25,0.7
FR00,7,0.2325,0.6675
FR00,8,0.215,0.635
FR00,9,0.1975,0.6025
FR00,10,0.18,0.57
FR00,11,0.175,0.5675
FR00,12,0.17,0.5650000000000001
FR00,13,0.165,0.5625000000000001
FR00,14,0.16,0.56
FR00,15,0.172,0.544
FR00,16,0.184,0.528
FR00,17,0.196,0.512
FR00,18,0.208,0.496
FR00,19,0.22,0.48
FR00,20,0.2475,0.5375
FR00,21,0.275,0.595
FR00,22,0.3025,0.6525
FR00,23,0.33,0.71
FR00,24,0.395,0.735
FR00,25,0.46,0.76
FR00,26,0.525,0.785
FR00,27,0.59,0.81
FR00,28,0.6,0.8220000000000001
FR00,29,0.61,0.8340000000000001
FR00,30,0.62,0.8460000000000001
FR00,31,0.63,0.8580000000000001
FR00,32,0.64,0.87
FR00,33,0.6375,0.8775
FR00,34,0.635,0.885
FR00,35,0.6325000000000001,0.8925000000000001
FR00,36,0.63,0.9
FR00,37,0.625,0.9
FR00,38,0.62,0.9
FR00,39,0.615,0.9
FR00,40,0.61,0.9
FR00,41,0.598,0.902
FR00,42,0.586,0.904
FR00,43,0.574,0.906
FR00,44,0.5619999999999999,0.908
FR00,45,0.55,0.91
FR00,46,0.515,0.9125000000000001
FR00,47,0.48,0.915
FR00,48,0.445,0.9175
FR00,49,0.41,0.92
FR00,50,0.3880487804878048,0.8882926829268293
FR00,51,0.3660975609756097,0.8565853658536585
FR00,52,0.3441463414634146,0.8248780487804878
FR00,53,0.3221951219512194,0.793170731707317
SE01,1,0.2864209796672828,0.8380314232902033
SE01,2,0.2626940850277264,0.808641404805915
SE01,3,0.2497527726432532,0.7729436229205175
SE01,4,0.2239117375231054,0.7318391866913123
SE01,5,0.2070887245841035,0.6834219038817005
SE01,6,0.1784195933456562,0.637583179297597
SE01,7,0.1555452865064695,0.6013239371534196
SE01,8,0.1253304066543438,0.5736044362292052
SE01,9,0.1135189463955638,0.5397088724584103
SE01,10,0.103800831792976,0.5093414972273568
SE01,11,0.08298521256931608,0.4814625693160813
SE01,12,0.0705637707948244,0.4790850277264325
SE01,13,0.06507948243992606,0.4656030499075786
SE01,14,0.05682878927911275,0.4494593345656192
SE01,15,0.04411136783733826,0.4346395563770794
SE01,16,0.04019847504621071,0.434764325323475
SE01,17,0.03607070240295748,0.4410027726432532
SE01,18,0.02496487985212569,0.4827102587800369
SE01,19,0.02179574861367837,0.5039279112754158
SE01,20,0.005473336414048059,0.5036645101663585
SE01,21,0.007021719038817004,0.5080938077634011
SE01,22,0.03092952865064695,0.5215480591497227
SE01,23,0.086090573012939,0.5744154343807762
SE01,24,0.1570771719038817,0.6194570240295748
SE01,25,0.2157670979667283,0.6844477818853973
SE01,26,0.2558872458410351,0.7741219963031423
SE01,27,0.3172458410351202,0.8496072088724583
SE01,28,0.3683941774491681,0.9196164510166358
SE01,29,0.4009450092421442,0.9668900184842882
SE01,30,0.4267583179297597,0.9867837338262476
SE01,31,0.4534519408502772,0.9847735674676524
SE01,32,0.4543599815157116,0.9893484288354898
SE01,33,0.443297134935305,0.9965573012939001
SE01,34,0.4360813308687615,0.9949630314232901
SE01,35,0.433488909426987,0.9846349353049907
SE01,36,0.4655822550831793,0.9831792975970425
SE01,37,0.4744616451016635,0.9873382624768946
SE01,38,0.4507416820702402,0.9881007393715341
SE01,39,0.4403719963031423,0.9877541589648797
SE01,40,0.4517121072088724,0.9964186691312383
SE01,41,0.46021719038817,0.992398336414048
SE01,42,0.4660120147874307,0.9957948243992606
SE01,43,0.462213493530499,0.9908733826247689
SE01,44,0.4702957486136783,0.9895563770794824
SE01,45,0.4697550831792975,0.9887939001848428
SE01,46,0.4677449168207023,0.9815157116451015
SE01,47,0.4659773567467652,0.9716035120147873
SE01,48,0.4456885397412199,0.9581561922365988
SE01,49,0.4132139556377079,0.9356977818853973
SE01,50,0.3801016635859519,0.9234288354898336
SE01,51,0.353782347504621,0.8841959334565619
SE01,52,0.3271857670979667,0.8649953789279112
SE01,53,0.2864209796672828,0.8380314232902033
SE02,1,0.415,0.8411892360712234
SE02,2,0.4252706260769673,0.7937259965537048
SE02,3,0.4021788811028145,0.737332636415853
SE02,4,0.3780042711085583,0.6729373256748995
SE02,5,0.337017126938541,0.6113476197587593
SE02,6,0.2952705709362435,0.5478453210798392
SE02,7,0.2614486180356117,0.5034478552556002
SE02,8,0.2187387340608846,0.4556400677771396
SE02,9,0.193614859276278,0.4299396025272831
SE02,10,0.1744537736932797,0.3973411464675474
SE02,11,0.14403511085583,0.3818575829982769
SE02,12,0.1214707352096496,0.3869062653647329
SE02,13,0.1085396392877657,0.395780133256749
SE02,14,0.08842225732337737,0.3795371579551982
SE02,15,0.06907272510051694,0.3516147099368179
SE02,16,0.04810873957495692,0.359743229178633
SE02,17,0.036172613785180933,0.4290114325100517
SE02,18,0.02194840827110856,0.6512729936817921
SE02,19,0.06485025468121769,0.7511848707639288
SE02,20,0.1299227076392878,0.7724202757036186
SE02,21,0.22513748190695,0.7802956576680069
SE02,22,0.3253587489948306,0.8265635267087881
SE02,23,0.4324639437105112,0.884081941412981
SE02,24,0.518122785755313,0.937240769672602
SE02,25,0.6038238173463526,0.9738753589890867
SE02,26,0.6420053566915566,0.9861806433084435
SE02,27,0.6979276002297531,0.9911730729465824
SE02,28,0.7277696726019529,0.99714992533027
SE02,29,0.7463330729465825,1
SE02,30,0.7520286616886847,1
SE02,31,0.7511145548535325,1
SE02,32,0.7423953819643883,1
SE02,33,0.7391608500861574,1
SE02,34,0.7314964158529581,1
