plant_name,node,year,scenario,weather_year,H2_export,H2_import,H2_net_export,net_demand_electrolysis,electrolysis_demand
AT00_electrolyzer,AT00,2050,DistributedEnergy,1995,-29092.0942985,0.0,-29092.0942985,16950292.52266,46042.38682116
DKE1_electrolyzer,DKE1,2050,DistributedEnergy,1995,-15826.36908611999,-42314.50059445,26488.13150833001,38765216.55577001,12277.08504744
DKW1_electrolyzer,DKW1,2050,DistributedEnergy,1995,0.0,-80822.83314059999,80822.83314059999,100811250.04859999,19988.416908
BE00_electrolyzer,BE00,2050,DistributedEnergy,1995,-41923.21909074,37040.0730732,-78963.29216394,33740091.120919995,112703.38328486
CZ00_electrolyzer,CZ00,2050,DistributedEnergy,1995,-35353.94377782999,0.0,-35353.94377782999,17413685.316400014,52767.629094230004
ES00_electrolyzer,ES00,2050,DistributedEnergy,1995,24024.72240262,11708.85700134,12315.865401279998,199559075.76794997,187243.21036666998
UK00_electrolyzer,UK00,2050,DistributedEnergy,1995,0.0,75400.05116521001,-75400.05116521001,235915540.98673996,311315.59215195
HU00_electrolyzer,HU00,2050,DistributedEnergy,1995,-24436.6393726,3437.3747373899996,-27874.01410999,21812241.53216,49686.25564215
LU00_electrolyzer,LU00,2050,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
NL00_electrolyzer,NL00,2050,DistributedEnergy,1995,13108.11899672,-60001.652578220004,73109.77157494001,210368873.00653002,137259.10143159
PL00_electrolyzer,PL00,2050,DistributedEnergy,1995,7350.048816100001,37139.91318586001,-29789.864369760006,89196748.33803,118986.61270779
PT00_electrolyzer,PT00,2050,DistributedEnergy,1995,0.0,-42626.6104834,42626.6104834,71741578.04791999,29114.967564519997
SI00_electrolyzer,SI00,2050,DistributedEnergy,1995,0.0,6257.46095558,-6257.46095558,4714045.924690001,10971.50688027
SK00_electrolyzer,SK00,2050,DistributedEnergy,1995,0.0,15459.62443587002,-15459.62443587002,7030834.08625998,22490.45852213
HR00_electrolyzer,HR00,2050,DistributedEnergy,1995,5145.8749106099995,0.0,5145.8749106099995,17100321.028449997,11954.44611784
SE01_electrolyzer,SE01,2050,DistributedEnergy,1995,56739.373755810004,47189.9354182,9549.438337610001,14911375.2753,5361.9369376899995
SE02_electrolyzer,SE02,2050,DistributedEnergy,1995,53087.10065331,56739.373755810004,-3652.273102500003,5451032.8782199975,9103.30598072
SE03_electrolyzer,SE03,2050,DistributedEnergy,1995,27153.08703824,53087.10065331,-25934.013615070002,12122393.591440003,38056.407206510004
SE04_electrolyzer,SE04,2050,DistributedEnergy,1995,0.0,5211.206508899999,-5211.206508899999,7378891.78695,12590.098295849999
NON1_electrolyzer,NON1,2050,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2050,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2050,DistributedEnergy,1995,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2050,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
IT00_electrolyzer,IT00,2050,DistributedEnergy,2008,2309.0107665800006,185365.1368408,-183056.12607422,103855279.52646999,286911.40560069
DE00_electrolyzer,DE00,2050,DistributedEnergy,2008,-207855.59378991998,138361.53427342,-346217.12806334,292204867.99774003,638421.99606108
