node,nodeline,fuel,capacity
PT00,PT00,Wind Onshore,9951.48
PT00,PT00,Other Non RES,440.1729736
PT00,PT00,Other RES,1177.7
PT00,PT00,Wind Offshore,666.5356539
PT00,PT00H2R1,Solar,15214.289999999999
PT00,PT00H2R1,Wind Onshore,17498.17
PT00,PT00H2R4,Solar,424.41
PT00,PT00H2R4,Wind Onshore,216.16
PT00,PT00HER4,Solar,536.64
PT00,PT00HER4,Wind Onshore,282.19
PT00,PT00RETE,Solar,7985.33
RO00,RO00,Gas,8017.7669802
RO00,RO00,Hydro,6783.61437988
RO00,RO00,Solar,6300
RO00,RO00,Wind Onshore,5005
RO00,RO00,Other RES,350
RO00,RO00,Wind Offshore,113.9831731
RO00,RO00,Nuclear,650
RO00,RO00H2R1,Solar,23946.13
RO00,RO00H2R1,Wind Onshore,34543.78
RO00,RO00H2R4,Solar,2085.6400000000003
RO00,RO00H2R4,Wind Onshore,1084.03
RO00,RO00RETE,Solar,10712.769999999999
RO00,RO00H2C5,Solar_stand alone,189
RS00,RS00,Gas,400.90000001
RS00,RS00,Hydro,3949.2900085399997
RS00,RS00,Solar,725
RS00,RS00,Wind Onshore,4840.5
RS00,RS00,Other RES,296.85
RS00,RS00RETE,Solar,83
SE01,SE01,Gas,0
SE01,SE01,Hydro,5444
SE01,SE01,Solar,547.85
SE01,SE01,Wind Onshore,1440.66
SE01,SE01,Other RES,299.7
SE01,SE01,Wind Offshore,756.4488214
SE01,SE01H2R1,Solar,88.66
SE01,SE01H2R1,Wind Onshore,1821.44
SE01,SE01RETE,Solar,735.51
SE01,SE01H2C5,Solar_stand alone,2634
SE02,SE02,Gas,1310.748
SE02,SE02,Hydro,8075.10009766
SE02,SE02,Solar,421.35
SE02,SE02,Wind Onshore,3329.21
SE02,SE02,Other RES,767.57
SE02,SE02,Wind Offshore,1285.782486
SE02,SE02H2R1,Solar,452.19
SE02,SE02H2R1,Wind Onshore,3096.44
SE02,SE02RETE,Solar,1250.37
SE03,SE03,Gas,57.041
SE03,SE03,Hydro,2583
SE03,SE03,Solar,5205.9
SE03,SE03,Wind Onshore,9454.9
SE03,SE03,Other RES,2865.4
SE03,SE03,Wind Offshore,6728.237235
SE03,SE03H2R1,Solar,6312.92
SE03,SE03H2R1,Wind Onshore,16210.79
SE03,SE03RETE,Solar,10097.05
SE04,SE04,Gas,2088.88948
SE04,SE04,Hydro,345
SE04,SE04,Solar,594.85
SE04,SE04,Wind Onshore,2549.6400000000003
SE04,SE04,Other RES,822.0899999999999
SE04,SE04,Wind Offshore,1814.384156
SE04,SE04H2R1,Solar,2127.95
SE04,SE04H2R1,Wind Onshore,5127.92
SE04,SE04RETE,Solar,2402.47
SI00,SI00,Gas,445
SI00,SI00,Hydro,1879.69995117
SI00,SI00,Solar,3548.55
SI00,SI00,Wind Onshore,257.95
SI00,SI00,Other Non RES,190
SI00,SI00,Other RES,101
SI00,SI00,Wind Offshore,59.84116588
SI00,SI00H2R1,Solar,1424.73
SI00,SI00H2R1,Wind Onshore,267.05
SI00,SI00RETE,Solar,3717.6200000000003
SI00,SI00H2C5,Solar_stand alone,495
SK00,SK00,Gas,4360.499565
SK00,SK00,Hydro,2539.5215168
SK00,SK00,Solar,680.35
SK00,SK00,Wind Onshore,435.6
SK00,SK00,Other Non RES,109.4100879
SK00,SK00,Other RES,722.58489579
SK00,SK00,Nuclear,1333.5999999
SK00,SK00H2R1,Solar,295.54999999999995
SK00,SK00H2R1,Wind Onshore,228.10000000000002
SK00,SK00RETE,Solar,1398.92
SK00,SK00H2C5,Solar_stand alone,15
TR00,TR00,Gas,59664.5630902
TR00,TR00,Hydro,39955.796875
TR00,TR00,Solar,48000
TR00,TR00,Wind Onshore,52488
TR00,TR00,Other Non RES,2000
TR00,TR00,Other RES,5150
TR00,TR00,Oil,64.9512
UA01,UA01,Gas,799.453012
UA01,UA01,Solar,1056
UA01,UA01,Wind Onshore,1421.6
UK00,UK00,Gas,67393.0208512
UK00,UK00,Hydro,5035.39990234
UK00,UK00,Solar,20797.84
UK00,UK00,Wind Onshore,39755
UK00,UK00,Other Non RES,2984.9292543
UK00,UK00,Other RES,9713.5
UK00,UK00,Oil,70.8
UK00,UK00,Wind Offshore,100592.45
UK00,UK00,Nuclear,5570
UK00,UK00H2R1,Solar,20642.56
UK00,UK00H2R1,Wind Onshore,19684.9
UK00,UK00H2R4,Solar,3205.78
UK00,UK00H2R4,Wind Onshore,1546.79
UK00,UK00H2R4,Wind Offshore,3531.6099999999997
UK00,UK00RETE,Solar,72740.03
UK00,UK00H2C5,Solar_stand alone,0
UK00,UK00H2C5,Offshore Wind_stand alone,0
UKNI,UKNI,Gas,5412.441273099999
UKNI,UKNI,Hydro,6
UKNI,UKNI,Solar,212.83
UKNI,UKNI,Wind Onshore,1271
UKNI,UKNI,Other Non RES,9
UKNI,UKNI,Other RES,2962.1099999999997
UKNI,UKNI,Oil,389
UKNI,UKNI,Wind Offshore,3241.33
UKNI,UKNIH2R1,Solar,157.94
UKNI,UKNIH2R1,Wind Onshore,2178.35
UKNI,UKNIH2R4,Solar,42.05
UKNI,UKNIH2R4,Wind Onshore,87.75999999999999
UKNI,UKNIH2R4,Wind Offshore,2.51
UKNI,UKNIHER4,Solar,222.05
UKNI,UKNIHER4,Wind Onshore,258.84
UKNI,UKNIHER4,Wind Offshore,77.32
UKNI,UKNIRETE,Solar,188.53
