 node , nodeline , fuel , DistributedEnergy_1995_capacity , DistributedEnergy_2008_capacity , DistributedEnergy_2009_capacity , GlobalAmbition_1995_capacity , GlobalAmbition_2008_capacity , GlobalAmbition_2009_capacity 
 HR00 , HR00 , Other Non RES , 200 , 200 , 200 , 200 , 200 , 200 
 HR00 , HR00 , Other RES , 400 , 400 , 400 , 400 , 400 , 400 
 HR00 , HR00H2R1 , Solar , 3’268 , 3’268 , 3’268 , 480 , 480 , 480 
 HR00 , HR00H2R1 , Wind Onshore , 7’856 , 7’856 , 7’856 , 53 , 53 , 53 
 HR00 , HR00H2R4 , Solar , 14 , 14 , 14 ,,,
 HR00 , HR00H2R4 , Wind Onshore , 5 , 5 , 5 ,,,
 HR00 , HR00RETE , Solar , 1’991 , 1’991 , 1’991 , 751 , 751 , 751 
 HU00 , HU00 , Gas , 4’535 , 4’535 , 4’535 , 500 , 500 , 500 
 HU00 , HU00 , Hydro , 55 , 55 , 55 , 55 , 55 , 55 
 HU00 , HU00 , Solar , 11’299 , 11’299 , 11’299 , 6’019 , 6’019 , 6’019 
 HU00 , HU00 , Wind Onshore , 326 , 326 , 326 , 326 , 326 , 326 
 HU00 , HU00 , Other Non RES , 606 , 606 , 606 , 606 , 606 , 606 
 HU00 , HU00 , Other RES , 992 , 992 , 992 , 992 , 992 , 992 
 HU00 , HU00H2R1 , Solar , 10’968 , 10’968 , 10’968 , 12’126 , 12’126 , 12’126 
 HU00 , HU00H2R1 , Wind Onshore , 15’312 , 15’312 , 15’312 , 2’713 , 2’713 , 2’713 
 HU00 , HU00H2R4 , Solar , 228 , 228 , 228 ,,,
 HU00 , HU00H2R4 , Wind Onshore , 99 , 99 , 99 ,,,
 HU00 , HU00RETE , Solar , 9’316 , 9’316 , 9’316 , 6’268 , 6’268 , 6’268 
 IE00 , IE00 , Gas , 8’143 , 8’143 , 8’143 , 4’109 , 4’109 , 4’109 
 IE00 , IE00 , Hydro , 508 , 508 , 508 , 508 , 508 , 508 
 IE00 , IE00 , Solar , 1’003 , 1’003 , 1’003 , 702 , 702 , 702 
 IE00 , IE00 , Wind Onshore , 4’300 , 4’300 , 4’300 , 4’300 , 4’300 , 4’300 
 IE00 , IE00 , Other Non RES , 67 , 67 , 67 , 67 , 67 , 67 
 IE00 , IE00 , Other RES , 154 , 154 , 154 , 154 , 154 , 154 
 IE00 , IE00 , Oil , 324 , 324 , 324 , 324 , 324 , 324 
 IE00 , IE00 , Wind Offshore , 21’498 , 21’498 , 21’498 , 8’471 , 8’471 , 8’471 
 IE00 , IE00H2R1 , Solar , 745 , 745 , 745 , 332 , 332 , 332 
 IE00 , IE00H2R1 , Wind Onshore , 8’940 , 8’940 , 8’940 , 3’727 , 3’727 , 3’727 
 IE00 , IE00H2R4 , Solar , 1’149 , 1’149 , 1’149 ,,,
 IE00 , IE00H2R4 , Wind Onshore , 3’318 , 3’318 , 3’318 , 243 , 243 , 243 
 IE00 , IE00H2R4 , Wind Offshore , 2’206 , 2’206 , 2’206 , 812 , 812 , 812 
 IE00 , IE00HER4 , Solar , 96 , 96 , 96 ,,,
 IE00 , IE00HER4 , Wind Onshore , 268 , 268 , 268 , 132 , 132 , 132 
 IE00 , IE00HER4 , Wind Offshore , 88 , 88 , 88 , 296 , 296 , 296 
 IE00 , IE00RETE , Solar , 991 , 991 , 991 , 448 , 448 , 448 
 IT00 , IT00 , Gas , 42’660 , 42’660 , 42’660 , 41’776 , 41’776 , 41’776 
 IT00 , IT00 , Hydro , 29’079 , 29’079 , 29’079 , 29’079 , 29’079 , 29’079 
 IT00 , IT00 , Solar , 50’849 , 50’849 , 50’849 , 32’078 , 32’078 , 32’078 
 IT00 , IT00 , Wind Onshore , 18’251 , 18’251 , 18’251 , 16’544 , 16’544 , 16’544 
 IT00 , IT00 , Other Non RES , 6’534 , 6’534 , 6’534 , 6’534 , 6’534 , 6’534 
 IT00 , IT00 , Other RES , 4’875 , 4’875 , 4’875 , 4’875 , 4’875 , 4’875 
 IT00 , IT00 , Wind Offshore , 12’572 , 12’572 , 12’572 , 13’521 , 13’521 , 13’521 
 IT00 , IT00H2R1 , Solar , 86’953 , 86’953 , 86’953 , 81’767 , 81’767 , 81’767 
 IT00 , IT00H2R1 , Wind Onshore , 24’236 , 24’236 , 24’236 , 11’971 , 11’971 , 11’971 
 IT00 , IT00H2R4 , Solar , 765 , 765 , 765 , 632 , 632 , 632 
 IT00 , IT00H2R4 , Wind Onshore , 328 , 328 , 328 , 213 , 213 , 213 
 IT00 , IT00H2R4 , Wind Offshore , 176 , 176 , 176 , 173 , 173 , 173 
 IT00 , IT00HER4 , Solar , 4’312 , 4’312 , 4’312 , 4’135 , 4’135 , 4’135 
 IT00 , IT00HER4 , Wind Onshore , 1’739 , 1’739 , 1’739 , 1’251 , 1’251 , 1’251 
 IT00 , IT00HER4 , Wind Offshore , 1’253 , 1’253 , 1’253 , 1’306 , 1’306 , 1’306 
 IT00 , IT00RETE , Solar , 88’949 , 88’949 , 88’949 , 57’107 , 57’107 , 57’107 
 LT00 , LT00 , Gas , 840 , 840 , 840 , 32 , 32 , 32 
 LT00 , LT00 , Hydro , 1’056 , 1’056 , 1’056 , 1’056 , 1’056 , 1’056 
 LT00 , LT00 , Solar , 1’488 , 1’488 , 1’488 , 481 , 481 , 481 
 LT00 , LT00 , Wind Onshore , 1’760 , 1’760 , 1’760 , 1’760 , 1’760 , 1’760 
 LT00 , LT00 , Other Non RES , 135 , 135 , 135 , 135 , 135 , 135 
 LT00 , LT00 , Other RES , 212 , 212 , 212 , 212 , 212 , 212 
 LT00 , LT00 , Oil , 150 , 150 , 150 , 150 , 150 , 150 
 LT00 , LT00 , Wind Offshore , 1’725 , 1’725 , 1’725 , 2’260 , 2’260 , 2’260 
 LT00 , LT00H2R1 , Solar , 726 , 726 , 726 ,,,
 LT00 , LT00H2R1 , Wind Onshore , 3’407 , 3’407 , 3’407 , 1’680 , 1’680 , 1’680 
 LT00 , LT00RETE , Solar , 1’211 , 1’211 , 1’211 , 668 , 668 , 668 
 LUG1 , LUG1 , Gas , 790 , 790 , 790 ,,,
 LUG1 , LUG1 , Hydro , 43 , 43 , 43 , 43 , 43 , 43 
 LUG1 , LUG1 , Wind Onshore , 534 , 534 , 534 , 385 , 385 , 385 
 LUG1 , LUG1 , Other Non RES , 100 , 100 , 100 , 100 , 100 , 100 
 LUG1 , LUG1 , Other RES , 121 , 121 , 121 , 121 , 121 , 121 
 LUG1 , LUG1RETE , Solar , 726 , 726 , 726 , 509 , 509 , 509 
 LUV1 , LUV1 , Hydro , 1’310 , 1’310 , 1’310 , 1’310 , 1’310 , 1’310 
 LV00 , LV00 , Gas , 617 , 617 , 617 , 65 , 65 , 65 
 LV00 , LV00 , Hydro , 1’601 , 1’601 , 1’601 , 1’601 , 1’601 , 1’601 
 LV00 , LV00 , Solar , 735 , 735 , 735 , 185 , 185 , 185 
 LV00 , LV00 , Wind Onshore , 348 , 348 , 348 , 348 , 348 , 348 
 LV00 , LV00 , Other RES , 300 , 300 , 300 , 300 , 300 , 300 
 LV00 , LV00 , Wind Offshore , 1’256 , 1’256 , 1’256 , 1’852 , 1’852 , 1’852 
 LV00 , LV00H2R1 , Solar , 774 , 774 , 774 ,,,
 LV00 , LV00H2R1 , Wind Onshore , 1’932 , 1’932 , 1’932 , 97 , 97 , 97 
 LV00 , LV00RETE , Solar , 223 , 223 , 223 , 87 , 87 , 87 
 ME00 , ME00 , Hydro , 1’137 , 1’137 , 1’137 , 1’137 , 1’137 , 1’137 
 ME00 , ME00 , Solar , 5’514 , 5’514 , 5’514 , 786 , 786 , 786 
 ME00 , ME00 , Wind Onshore , 1’212 , 1’212 , 1’212 , 1’212 , 1’212 , 1’212 
 ME00 , ME00 , Other RES , 49 , 49 , 49 , 49 , 49 , 49 
 MK00 , MK00 , Hydro , 1’480 , 1’480 , 1’480 , 1’480 , 1’480 , 1’480 
 MK00 , MK00 , Solar , 11’553 , 11’553 , 11’553 , 1’262 , 1’262 , 1’262 
 MK00 , MK00 , Wind Onshore , 605 , 605 , 605 , 436 , 436 , 436 
 MK00 , MK00 , Other RES , 31 , 31 , 31 , 31 , 31 , 31 
 MK00 , MK00RETE , Solar , 70 , 70 , 70 , 10 , 10 , 10 
 MT00 , MT00 , Gas , 729 , 729 , 729 , 728 , 728 , 728 
 MT00 , MT00 , Solar , 659 , 659 , 659 , 332 , 332 , 332 
 MT00 , MT00 , Wind Onshore , 936 , 936 , 936 , 538 , 538 , 538 
 MT00 , MT00 , Wind Offshore , 175 , 175 , 175 , 220 , 220 , 220 
 MT00 , MT00RETE , Solar , 228 , 228 , 228 , 160 , 160 , 160 
 NL00 , NL00 , Gas , 46’660 , 46’660 , 46’660 , 33’945 , 33’945 , 33’945 
 NL00 , NL00 , Hydro , 38 , 38 , 38 , 38 , 38 , 38 
 NL00 , NL00 , Solar , 44’487 , 44’487 , 44’487 , 38’471 , 38’471 , 38’471 
 NL00 , NL00 , Wind Onshore , 9’676 , 9’676 , 9’676 , 9’356 , 9’356 , 9’356 
 NL00 , NL00 , Other Non RES , 917 , 917 , 917 , 917 , 917 , 917 
 NL00 , NL00 , Other RES , 600 , 600 , 600 , 600 , 600 , 600 
 NL00 , NL00 , Wind Offshore , 60’137 , 60’137 , 60’137 , 71’574 , 71’574 , 71’574 
 NL00 , NL00H2R1 , Solar , 23’710 , 23’710 , 23’710 , 7’829 , 7’829 , 7’829 
 NL00 , NL00H2R1 , Wind Onshore , 10’324 , 10’324 , 10’324 , 6’903 , 6’903 , 6’903 
 NL00 , NL00H2R4 , Solar , 903 , 903 , 903 ,,,
 NL00 , NL00H2R4 , Wind Offshore , 1’863 , 1’863 , 1’863 , 1’264 , 1’264 , 1’264 
 NL00 , NL00RETE , Solar , 50’369 , 50’369 , 50’369 , 35’293 , 35’293 , 35’293 
 NOM1 , NOM1 , Hydro , 4’456 , 4’456 , 4’456 , 4’456 , 4’456 , 4’456 
 NOM1 , NOM1 , Solar , 90 , 90 , 90 , 90 , 90 , 90 
 NOM1 , NOM1 , Wind Onshore , 4’475 , 4’475 , 4’475 , 3’558 , 3’558 , 3’558 
 NOM1 , NOM1 , Other Non RES , 20 , 20 , 20 , 20 , 20 , 20 
 NON1 , NON1 , Gas , -   , -   , -   , 559 , 559 , 559 
 NON1 , NON1 , Hydro , 5’273 , 5’273 , 5’273 , 5’273 , 5’273 , 5’273 
 NON1 , NON1 , Wind Onshore , 4’799 , 4’799 , 4’799 , 3’758 , 3’758 , 3’758 
